epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,220.908,1.43935,3.837,1.38097,0.0032,0.96,0.43111,0.24795,1.21417,3.90871,1.11156,0.00012,0.00012,0.00012
2,423.351,1.17426,2.45606,1.07648,0.00333,1,0.85454,0.44014,1.31248,3.54574,1.04027,0.0002483,0.0002483,0.0002483
3,621.661,1.18047,1.8432,1.0378,0.00333,1,0.80498,0.48994,1.10968,3.56952,1.01392,0.000364,0.000364,0.000364
4,829.942,1.18935,1.69305,1.07557,0.00333,1,0.7202,0.43992,1.09497,3.51829,1.01855,0.0004671,0.0004671,0.0004671
5,1030.01,1.18899,1.49271,1.08288,0.88063,0.32,0.68145,0.41949,1.14431,3.50059,1.06115,0.0005576,0.0005576,0.0005576
6,1224.82,1.16744,1.50274,1.10199,1,0.15123,0.67057,0.402,1.11273,3.42725,1.06985,0.0006355,0.0006355,0.0006355
7,1416.88,1.19151,1.46214,1.1154,0.90042,0.36186,0.83535,0.46723,1.22203,3.29053,1.21979,0.0007008,0.0007008,0.0007008
8,1621.67,1.12145,1.40591,1.08395,0.82273,0.52,0.78374,0.47218,1.25706,3.14413,1.30552,0.0007535,0.0007535,0.0007535
9,1818.73,1.09311,1.30893,1.08223,0.72643,0.74389,0.69362,0.37955,1.32167,2.80198,1.33104,0.0007936,0.0007936,0.0007936
10,2016.07,1.06454,1.25228,1.08591,0.63407,0.62418,0.59491,0.33476,1.31331,2.79961,1.36727,0.0008211,0.0008211,0.0008211
11,2215.59,1.07801,1.71248,1.05517,0.63794,0.32,0.42563,0.1909,1.32841,3.17536,1.38328,0.000836,0.000836,0.000836
12,2409.18,1.0862,1.50945,1.04396,1,0.82622,0.86809,0.49143,1.26615,2.4686,1.26954,0.0008383,0.0008383,0.0008383
13,2604.62,1.05386,1.48911,1.02022,0.90391,0.8,0.8689,0.49932,1.26375,2.32737,1.24152,0.000828,0.000828,0.000828
14,2799.36,1.02604,1.39307,1.07388,0.98493,0.84,0.93637,0.52032,1.34685,1.76286,1.44372,0.0008051,0.0008051,0.0008051
15,2996.46,1.0415,1.3339,1.04646,0.91562,0.92,0.94407,0.59117,1.32678,1.58405,1.3772,0.00074,0.00074,0.00074
16,3195.89,0.99745,1.21947,1.00044,0.92411,0.88,0.93611,0.58211,1.32293,1.56052,1.3569,0.00065,0.00065,0.00065
17,3394.82,1.00557,1.14912,1.03467,0.87533,0.96,0.95082,0.5976,1.30625,1.37156,1.33143,0.00056,0.00056,0.00056
18,3591.25,0.93886,1.13047,1.01634,0.95996,0.95911,0.98145,0.65741,1.24729,1.3354,1.28221,0.00047,0.00047,0.00047
19,3795.3,0.92124,1.07353,1.00985,0.9219,0.94472,0.97817,0.63765,1.20984,1.27288,1.22884,0.00038,0.00038,0.00038
20,3996.15,0.91046,1.06918,0.97341,0.94885,0.92,0.95191,0.61027,1.21658,1.26862,1.18771,0.00029,0.00029,0.00029
